Id,Date,Home_or_Away,Team,Opponent,Win_Loss,Rest_Days,Points,FG_Made,FG_Attempted,3PT_FG_Made,3PT_FG_Attempted,Rebounds,Assists,Steals,Blocks,Turnovers,Season
1,2023-10-24,Home,GSW,PHX,L,,104,36,101,10,43,49,19,11,6,11,2023-24
2,2023-10-24,Away,LAL,DEN,L,,107,41,90,10,29,44,23,5,4,12,2023-24
3,2023-10-24,Away,PHX,GSW,W,,108,42,95,11,33,60,23,5,7,19,2023-24
4,2023-10-24,Home,DEN,LAL,W,,119,48,91,14,34,42,29,9,6,12,2023-24
5,2023-10-25,Away,BOS,NYK,W,,108,37,77,12,39,46,18,6,11,13,2023-24
6,2023-10-25,Home,CHA,ATL,W,,116,43,86,11,37,51,34,5,3,19,2023-24
7,2023-10-25,Home,UTA,SAC,L,,114,41,91,9,28,54,22,6,2,14,2023-24
8,2023-10-25,Home,CHI,OKC,L,,104,39,94,12,42,42,26,10,3,13,2023-24
9,2023-10-25,Away,CLE,BKN,W,,114,44,94,17,43,38,25,10,6,10,2023-24
10,2023-10-25,Home,TOR,MIN,W,,97,36,90,14,35,47,27,9,11,14,2023-24
11,2023-10-25,Away,DAL,SAS,W,,126,47,99,15,47,48,24,6,3,12,2023-24
12,2023-10-25,Home,SAS,DAL,L,,119,46,89,11,35,45,33,8,5,19,2023-24
13,2023-10-25,Away,DET,MIA,L,,102,41,92,11,32,56,28,3,13,17,2023-24
14,2023-10-25,Away,SAC,UTA,W,,130,47,102,19,51,45,29,6,8,12,2023-24
15,2023-10-25,Away,ATL,CHA,L,,110,39,93,5,29,42,24,12,1,12,2023-24
16,2023-10-25,Away,HOU,ORL,L,,86,32,79,12,34,31,19,6,3,19,2023-24
17,2023-10-25,Away,POR,LAC,L,,111,44,93,10,32,40,20,10,4,18,2023-24
18,2023-10-25,Home,IND,WAS,W,,143,56,107,20,43,51,38,10,8,12,2023-24
19,2023-10-25,Home,LAC,POR,W,,123,47,90,16,34,45,36,11,7,18,2023-24
20,2023-10-25,Home,MEM,NOP,L,,104,38,91,12,43,37,23,8,7,13,2023-24
21,2023-10-25,Home,MIA,DET,W,,103,37,92,8,22,48,22,11,3,7,2023-24
22,2023-10-25,Home,ORL,HOU,W,,116,42,87,9,34,57,19,8,6,16,2023-24
23,2023-10-25,Away,MIN,TOR,L,,94,34,100,8,31,62,20,8,9,14,2023-24
24,2023-10-25,Away,OKC,CHI,W,,124,45,82,19,39,43,30,6,4,16,2023-24
25,2023-10-25,Away,NOP,MEM,W,,111,40,85,14,32,52,22,8,5,21,2023-24
